77070  15 44 16.00 +06 25 31.9  2.63  K UNUKALHAI
8903   01 54 38.35 +20 48 29.9  2.64  A SHERATAN 
61359  12 34 23.23 -23 23 47.8  2.65  G          
26634  05 39 38.94 -34 04 26.6  2.65  B PHACT    
28380  05 59 43.24 +37 12 46.0  2.65  A          
6686   01 25 48.60 +60 14 07.5  2.66  A RUCHBAH  
73273  14 58 31.95 -43 08 01.9  2.68  B          
67927  13 54 41.12 +18 23 54.9  2.68  G MUPHRID  
52727  10 46 46.12 -49 25 12.5  2.69  G          
23015  04 56 59.62 +33 09 58.1  2.69  K          
61585  12 37 11.08 -69 08 07.9  2.69  B          
85696  17 30 45.84 -37 17 44.7  2.70  B LESATH   
35264  07 17 08.56 -37 05 51.0  2.71  K          
97278  19 46 15.57 +10 36 47.8  2.72  K TARAZED  
89931  18 20 59.62 -29 49 40.9  2.72  K KAUS MEDI
80331  16 23 59.51 +61 30 50.7  2.73  G          
79593  16 14 20.77 -03 41 38.3  2.73  M YED PRIOR
52419  10 42 57.43 -64 23 40.1  2.74  B          
61941  12 41 40.00 -01 26 58.3  2.74  F          
26241  05 35 25.98 -05 54 35.6  2.75  O          
72622  14 50 52.78 -16 02 29.8  2.75  A ZUBENELGE
65109  13 20 36.07 -36 42 43.5  2.75  A          
86742  17 43 28.38 +04 34 00.9  2.76  K CEBALRAI 
23875  05 07 51.03 -05 05 10.5  2.78  A CURSA    
84345  17 14 38.86 +14 23 24.9  2.78  M          
80816  16 30 13.26 +21 29 22.7  2.78  G KORNEPHOR
59747  12 15 08.76 -58 44 56.0  2.79  B          
85670  17 30 25.98 +52 18 04.9  2.79  G RASTABAN 
76297  15 35 08.46 -41 10 00.1  2.80  B          
81693  16 41 17.48 +31 36 06.8  2.81  F          
25606  05 28 14.73 -20 45 33.2  2.81  G NIHAL    
90496  18 27 58.27 -25 25 16.5  2.82  K KAUS BORE
81266  16 35 52.96 -28 12 57.5  2.82  B          
2021   00 25 39.20 -77 15 18.1  2.82  G          
39757  08 07 32.70 -24 18 16.0  2.83  F          
1067   00 13 14.15 +15 11 01.0  2.83  B ALGENIB  
77952  15 55 08.81 -63 25 47.1  2.83  F          
85258  17 25 18.00 -55 31 47.4  2.84  K          
85792  17 31 50.52 -49 52 33.5  2.84  B          
18246  03 54 07.92 +31 53 01.2  2.84  B ATIK     
17702  03 47 29.06 +24 06 18.9  2.85  B ALCYONE  
63608  13 02 10.76 +10 57 32.8  2.85  G VINDEMIAT
107556 21 47 02.29 -16 07 35.6  2.85  A DENEB ALG
9236   01 58 45.87 -61 34 11.7  2.86  F          
97165  19 44 58.44 +45 07 50.5  2.86  B          
110130 22 18 30.18 -60 15 34.2  2.87  K          
30343  06 22 57.59 +22 30 49.9  2.87  M          
74946  15 18 54.69 -68 40 46.1  2.87  A          
94141  19 09 45.83 -21 01 24.7  2.88  F          
13847  02 58 15.72 -40 18 17.0  2.88  A ACAMAR   
63125  12 56 01.84 +38 19 05.7  2.89  A COR CAROL
78265  15 58 51.12 -26 06 50.6  2.89  B          
36188  07 27 09.07 +08 17 21.9  2.89  B GOMEISA  
18532  03 57 51.22 +40 00 37.0  2.90  B          
106278 21 31 33.52 -05 34 16.2  2.90  G SADALSUUD
80112  16 21 11.32 -25 35 33.9  2.90  B          
14328  03 04 47.79 +53 30 23.2  2.91  G          
48002  09 47 06.14 -65 04 19.3  2.92  A          
112158 22 43 00.13 +30 13 16.7  2.93  G MATAR    
60965  12 29 51.98 -16 30 54.3  2.94  B ALGORAB  
32768  06 49 56.14 -50 36 51.8  2.94  K          
109074 22 05 47.03 -00 19 11.4  2.95  G SADALMELI
