H|       32349| |06 45 09.25|-16 42 47.3|-1.44|2|G|101.28854105|-16.71314306|+| 379.21| -546.01|-1223.08|  1.21|  1.04|  1.58|  1.33|  1.24| 0.05| 0.22|-0.30|-0.50| 0.13|-0.31| 0.12|-0.54| 0.32|-0.05|  0|     | 32349|      |     |      |     | | 0.009|0.007|G|-.02|0.00|A| |-1.0876|0.0024|0.040|159| |-1.17|-0.98|       |U| | |06451-1643|I| 1| 1|O| | |  |   |       |     |     |    |S| |X| 48915|B-16 1591 |          |          |-.02|A0m...      |4 
H|       30438| |06 23 57.09|-52 41 44.6|-0.62|2|H|095.98787763|-52.69571799| |  10.43|   19.99|   23.67|  0.50|  0.46|  0.53|  0.53|  0.56| 0.02| 0.11|-0.14|-0.23|-0.07| 0.15|-0.06| 0.19|-0.25|-0.04|  1| 3.15| 30438|-0.417|0.019|-0.608|0.016| | 0.164|0.017|G|0.23|0.02|A| |-0.5536|0.0066|0.039| 87| |-0.60|-0.48|       |U| | |          | |  | 1| | |S|  |   |       |     |     |    |S| | | 45348|          |          |P-52   914|0.23|F0Ib        |X 
H|       69673|H|14 15 40.35|+19 11 14.2|-0.05|1|G|213.91811403|+19.18726997|*|  88.85|-1093.45|-1999.40|  0.92|  0.42|  0.74|  0.60|  0.52|-0.52| 0.16|-0.13|-0.07| 0.05|-0.01| 0.03|-0.12|-0.03|-0.31|  7| 2.01| 69673| 1.629|0.010| 0.286|0.009|*| 1.239|0.006|G|1.22|0.02|A|*| 0.1114|0.0020|0.015| 70|*| 0.09| 0.14|       |U|2| |14157+1911|H| 1| 2|C| |A|AB|198|  0.255|0.039| 3.33|0.31|S| | |124897|B+19 2777 |          |          |1.22|K2IIIp      |X 
H|       71683| |14 39 40.90|-60 50 06.5|-0.01| |G|219.92041034|-60.83514707|A| 742.12|-3678.19|  481.84|  1.42|  1.08|  1.40|  1.51|  1.24| 0.29|-0.31|-0.16| 0.15| 0.05|-0.09| 0.00| 0.14| 0.09| 0.45|  1|-3.09| 71683|      |     |      |     | | 0.710|0.040|G|0.69|0.02|A| | 0.1373|0.0472|0.063|105|A| 0.06| 0.26|       |D| | |14396-6050|I| 3| 1|C|P|D|  |   |       |     |     |    |S| |D|128620|          |          |P-60  5483|0.69|G2V         |X 
H|       91262| |18 36 56.19|+38 46 58.8| 0.03|1|G|279.23410832|+38.78299311| | 128.93|  201.02|  287.46|  0.48|  0.47|  0.55|  0.57|  0.60|-0.02|-0.08|-0.12| 0.30| 0.02|-0.13| 0.01| 0.28|-0.05|-0.15|  2| 1.31| 91262|      |     |      |     | |-0.001|0.005|G|-.01|0.02|A| | 0.0868|0.0021|0.014| 90| | 0.07| 0.13|       |U|2|C|18369+3847|I| 1| 1| | |S|  |   |       |     |     |    |S| | |172167|B+38 3238 |          |          |-.01|A0Vvar      |X 
H|       24608| |05 16 41.30|+45 59 56.5| 0.08|1|G|079.17206517|+45.99902927|+|  77.29|   75.52| -427.13|  0.80|  0.51|  0.89|  0.77|  0.50| 0.27| 0.51| 0.13| 0.06|-0.01| 0.01|-0.07| 0.03|-0.12| 0.16|  2| 3.79| 24608|      |     |      |     | | 0.795|0.019|G|0.83|0.01|R| | 0.2385|0.0023|0.011| 52| | 0.22| 0.25|       |U|2| |05168+4559|I| 1| 1|O| | |  |   |       |     |     |    |S| |P| 34029|B+45 1077 |          |          |0.83|M1: comp    |G 
H|       24436| |05 14 32.27|-08 12 05.9| 0.18|1|G|078.63446353|-08.20163919| |   4.22|    1.87|   -0.56|  0.65|  0.48|  0.81|  0.74|  0.53|-0.18| 0.27| 0.18| 0.32|-0.23|-0.13|-0.24| 0.27|-0.14|-0.30|  0| 2.48| 24436| 0.312|0.012| 0.283|0.010| |-0.030|0.600|G|0.03|0.02|A| | 0.1930|0.0015|0.014| 64| | 0.17| 0.22|   2.07|P|1|A|05145-0812|I| 1| 1| | |S|  |   |       |     |     |    |S| | | 34085|B-08 1063 |          |          |0.03|B8Ia        |X 
H|       37279| |07 39 18.54|+05 13 39.0| 0.40| |G|114.82724194|+05.22750767|+| 285.93| -716.57|-1034.58|  0.82|  0.50|  0.88|  0.88|  0.38| 0.03| 0.21|-0.30|-0.19|-0.06|-0.22|-0.07|-0.55| 0.14| 0.09|  0| 1.94| 37279|      |     |      |     | | 0.432|0.015|G|0.49|0.02|A| | 0.4607|0.0017|0.007| 20| | 0.45| 0.52|       | | | |07393+0514|I| 1| 1|O| | |  |   |       |     |     |    |S| |D| 61421|B+05 1739 |          |          |0.49|F5IV-V      |X 
H|       27989| |05 55 10.29|+07 24 25.3| 0.45|2|H|088.79287161|+07.40703634| |   7.63|   27.33|   10.86|  1.51|  1.13|  1.64|  2.30|  1.46| 0.08| 0.19|-0.26|-0.21|-0.27| 0.11|-0.15|-0.50| 0.21| 0.28|  0|     | 27989| 2.849|0.009| 0.769|0.019| | 1.500|0.510|G|2.32|0.02|A| | 0.4997|0.0234|0.109| 57| | 0.33| 0.62|       |U|2|C|05552+0724|I| 1| 1|X| |S|  |   |       |     |     |    |S| |P| 39801|B+07 1055 |          |          |2.32|M2Ib        |X 
H|        7588| |01 37 42.75|-57 14 12.0| 0.45|2|G|024.42813204|-57.23666007| |  22.68|   88.02|  -40.08|  0.48|  0.47|  0.57|  0.62|  0.54|-0.12|-0.10|-0.14|-0.20| 0.16|-0.01| 0.22|-0.05|-0.20|-0.20|  1|-0.37|  7588| 0.458|0.010| 0.522|0.009| |-0.158|0.007|G|-.17|0.02|A| | 0.4233|0.0024|0.022|106| | 0.40| 0.46|       |U|2| |          | |  | 1|G| | |  |   |       |     |     |    |S| |P| 10144|          |          |P-57   334|-.17|B3Vp        |X 
H|       68702|H|14 03 49.44|-60 22 22.7| 0.61|1|G|210.95601898|-60.37297840|A|   6.21|  -33.96|  -25.06|  0.43|  0.44|  0.56|  0.51|  0.45|-0.11|-0.16| 0.14|-0.07| 0.15|-0.07| 0.21|-0.29|-0.08| 0.57|  6| 1.36| 68702| 0.435|0.014| 0.609|0.013|*|-0.231|0.017|G|-.25|0.02|A|*| 0.5366|0.0014|0.009| 86|*| 0.52| 0.56|       |U|2| |14038-6022|I| 1| 2|C| |A|AB|234|  0.871|0.012| 3.37|0.07|S| | |122451|          |          |P-59  5365|-.25|B1III       |X 
H|       97649| |19 50 46.68|+08 52 02.6| 0.76|1|G|297.69450860|+08.86738491| | 194.44|  536.82|  385.54|  0.60|  0.53|  0.94|  0.73|  0.68| 0.20|-0.24|-0.33| 0.27|-0.14| 0.36|-0.04| 0.41| 0.05| 0.04|  0| 0.36| 97649| 1.248|0.012| 0.955|0.010| | 0.221|0.010|G|0.27|0.02|A| | 0.8273|0.0011|0.006| 41| | 0.82| 0.87|   7.94|P|1|A|19508+0852|I| 1| 1| | | |  |   |       |     |     |    |S| |P|187642|B+08 4236 |          |          |0.27|A7IV-V      |X 
H|       60718|H|12 26 35.94|-63 05 56.6| 0.77| |G|186.64975585|-63.09905586|A|  10.17|  -35.37|  -14.73|  0.55|  0.68|  0.67|  0.58|  0.66| 0.18|-0.05| 0.23|-0.11|-0.06| 0.03|-0.11|-0.32| 0.11| 0.20| 11| 0.63| 60718| 0.446|0.011| 0.633|0.010|*|-0.243|0.012|G|-.26|0.02|A|*| 0.6739|0.0008|0.008|115|*| 0.66| 0.69|       |D| | |12266-6306|I| 1| 2|C| |A|AB|113|  4.102|0.002| 0.39|0.01|S| |P|108248|          |          |P-62  2745|-.26|B0.5IV      |X 
